ensembl_gene_id,mgi_symbol,gene_biotype,chromosome_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000051747,Ttn,protein_coding,2,566.022584082094,4.35372423698452,0.892582585863192,2.61973794280062e-08,0.000331920797352839
ENSMUSG00000030785,Cox6a2,protein_coding,7,122.715307709084,4.83639643747373,1.04924380555461,5.81614672799537e-08,0.000368452895218507
ENSMUSG00000040752,Myh6,protein_coding,14,360.271160335785,4.78016982605039,1.09355412368871,9.38170173198756e-08,0.000396220536480941
ENSMUSG00000020475,Pgam2,protein_coding,11,45.92529235552,3.74600804008778,1.52675340634943,1.65490121819488e-06,0.00178673179963589
ENSMUSG00000021456,Fbp2,protein_coding,13,12.4488445545248,1.66083116168138,0.751743383710986,1.97428928136562e-06,0.00178673179963589
ENSMUSG00000025922,Rpl7-ps8,processed_pseudogene,15,85.636789985417,-1.01051579182315,0.252320930234069,1.56793596087935e-06,0.00178673179963589
ENSMUSG00000031848,Lsm4,protein_coding,8,522.229763450597,0.710621684376466,0.182399296519822,1.85139631222443e-06,0.00178673179963589
ENSMUSG00000034566,Atp5h,protein_coding,11,1597.70329631103,0.720328567103738,0.174818874297636,9.48825943658377e-07,0.00178673179963589
ENSMUSG00000041476,Smpx,protein_coding,X,32.294280759567,4.20575369951344,1.47307309194456,9.40762556610271e-07,0.00178673179963589
ENSMUSG00000059278,Naa38,protein_coding,11,116.366520370347,0.71297034478444,0.18374926901342,1.9663080086171e-06,0.00178673179963589
ENSMUSG00000078636,Gm7336,processed_pseudogene,7,157.987727503875,0.81244697254438,0.196162090181395,1.21301370616778e-06,0.00178673179963589
ENSMUSG00000079502,Cfap77,protein_coding,2,1053.93064270322,0.812683948765021,0.201773064366345,1.7209200803304e-06,0.00178673179963589
ENSMUSG00000080763,Gm12341,processed_pseudogene,11,28.4690117028643,-1.03505841381889,0.257084995582636,1.35879745885472e-06,0.00178673179963589
ENSMUSG00000083773,Gm13394,processed_pseudogene,2,613.607545931661,0.857030266084167,0.195365648201309,5.82101259820373e-07,0.00178673179963589
ENSMUSG00000003072,Atp5d,protein_coding,10,1390.30503144895,0.937985620124827,0.24266076388106,2.72161084317782e-06,0.00205173688015271
ENSMUSG00000020469,Myl7,protein_coding,11,332.869049425563,3.90155104285863,1.86229960520193,2.75292241220174e-06,0.00205173688015271
ENSMUSG00000040936,Ulk4,protein_coding,9,167.545176789554,-0.719604999405941,0.189398617158266,2.58982757013348e-06,0.00205173688015271
ENSMUSG00000026202,Tuba4a,protein_coding,1,32.566249097861,1.09366350827208,0.305255360755943,3.10987766137867e-06,0.0021890083316482
ENSMUSG00000028773,Fabp3,protein_coding,4,387.580148406512,1.4650233557975,0.658714711108281,3.46740669401686e-06,0.00220487270965115
ENSMUSG00000042045,Sln,protein_coding,9,323.435277936182,3.74971457455813,1.92453921926767,3.48046205154088e-06,0.00220487270965115
