ensembl_gene_id,mgi_symbol,chromosome_name,gene_biotype
ENSMUSG00000000001,Gnai3,3,protein_coding
ENSMUSG00000000028,Cdc45,16,protein_coding
ENSMUSG00000000031,H19,7,lincRNA
ENSMUSG00000000037,Scml2,X,protein_coding
ENSMUSG00000000049,Apoh,11,protein_coding
ENSMUSG00000000056,Narf,11,protein_coding
ENSMUSG00000000058,Cav2,6,protein_coding
ENSMUSG00000000078,Klf6,13,protein_coding
ENSMUSG00000000085,Scmh1,4,protein_coding
ENSMUSG00000000088,Cox5a,9,protein_coding
ENSMUSG00000000093,Tbx2,11,protein_coding
ENSMUSG00000000120,Ngfr,11,protein_coding
ENSMUSG00000000126,Wnt9a,11,protein_coding
ENSMUSG00000000127,Fer,17,protein_coding
ENSMUSG00000000131,Xpo6,7,protein_coding
ENSMUSG00000000134,Tfe3,X,protein_coding
ENSMUSG00000000142,Axin2,11,protein_coding
ENSMUSG00000000148,Brat1,5,protein_coding
ENSMUSG00000000149,Gna12,5,protein_coding
ENSMUSG00000000154,Slc22a18,7,protein_coding
ENSMUSG00000000167,Pih1d2,9,protein_coding
ENSMUSG00000000168,Dlat,9,protein_coding
ENSMUSG00000000171,Sdhd,9,protein_coding
ENSMUSG00000000184,Ccnd2,6,protein_coding
ENSMUSG00000000194,Gpr107,2,protein_coding
ENSMUSG00000000197,Nalcn,14,protein_coding
ENSMUSG00000000215,Ins2,7,protein_coding
ENSMUSG00000000244,Tspan32,7,protein_coding
ENSMUSG00000000253,Gmpr,13,protein_coding
ENSMUSG00000000263,Glra1,11,protein_coding
ENSMUSG00000000266,Mid2,X,protein_coding
ENSMUSG00000000275,Trim25,11,protein_coding
ENSMUSG00000000276,Dgke,11,protein_coding
ENSMUSG00000000278,Scpep1,11,protein_coding
ENSMUSG00000000282,Mnt,11,protein_coding
ENSMUSG00000000290,Itgb2,10,protein_coding
ENSMUSG00000000295,Hddc2,10,protein_coding
ENSMUSG00000000296,Tpd52l1,10,protein_coding
ENSMUSG00000000301,Pemt,11,protein_coding
ENSMUSG00000000303,Cdh1,8,protein_coding
ENSMUSG00000000305,Cdh4,2,protein_coding
ENSMUSG00000000317,Bcl6b,11,protein_coding
ENSMUSG00000000318,Clec10a,11,protein_coding
ENSMUSG00000000320,Alox12,11,protein_coding
ENSMUSG00000000326,Comt,16,protein_coding
ENSMUSG00000000339,Rtca,3,protein_coding
ENSMUSG00000000340,Dbt,3,protein_coding
ENSMUSG00000000346,Dazap2,15,protein_coding
ENSMUSG00000000355,Mcts1,X,protein_coding
ENSMUSG00000000359,Rem1,2,protein_coding
ENSMUSG00000000365,Rnf17,14,protein_coding
ENSMUSG00000000374,Trappc10,10,protein_coding
ENSMUSG00000000378,Ccm2,11,protein_coding
ENSMUSG00000000384,Tbrg4,11,protein_coding
ENSMUSG00000000386,Mx1,16,polymorphic_pseudogene
ENSMUSG00000000392,Fap,2,protein_coding
ENSMUSG00000000399,Ndufa9,6,protein_coding
ENSMUSG00000000409,Lck,4,protein_coding
ENSMUSG00000000416,Cttnbp2,6,protein_coding
ENSMUSG00000000420,Galnt1,18,protein_coding
ENSMUSG00000000439,Mkrn2,6,protein_coding
ENSMUSG00000000440,Pparg,6,protein_coding
ENSMUSG00000000441,Raf1,6,protein_coding
ENSMUSG00000000486,Septin1,7,protein_coding
ENSMUSG00000000489,Pdgfb,15,protein_coding
ENSMUSG00000000530,Acvrl1,15,protein_coding
ENSMUSG00000000531,Grasp,15,protein_coding
ENSMUSG00000000532,Acvr1b,15,protein_coding
ENSMUSG00000000538,Tom1l2,11,protein_coding
ENSMUSG00000000552,Zfp385a,15,protein_coding
ENSMUSG00000000555,Itga5,15,protein_coding
